paper_id,query,title,abstract,label,query_type,abstract_length,label_length
10696,how news media promote covid-19?,Pandemic Populism: Facebook Pages of Alternative News Media and the Corona Crisis - A Computational Content Analysis,"The COVID-19 pandemic has not only had severe political, economic, and societal effects, it has also affected media and communication systems in unprecedented ways. While traditional journalistic media has tried to adapt to the rapidly evolving situation, alternative news media on the Internet have given the events their own ideological spin. Such voices have been criticized for furthering societal confusion and spreading potentially dangerous ""fake news"" or conspiracy theories via social media and other online channels. The current study analyzes the factual basis of such fears in an initial computational content analysis of alternative news media's output on Facebook during the early Corona crisis, based on a large German data set from January to the second half of March 2020. Using computational content analysis, methods, reach, interactions, actors, and topics of the messages were examined, as well as the use of fabricated news and conspiracy theories. The analysis revealed that the alternative news media stay true to message patterns and ideological foundations identified in prior research. While they do not spread obvious lies, they are predominantly sharing overly critical, even anti-systemic messages, opposing the view of the mainstream news media and the political establishment. With this pandemic populism, they contribute to a contradictory, menacing, and distrusting worldview, as portrayed in detail in this analysis.","Alternative news media on Facebook contribute to a contradictory, menacing, and distrusting worldview during the COVID-19 pandemic by sharing overly critical, anti-systemic messages.",question,1451,182.0
1086,what is the relationship between self-efficacy and resistance training performance in athletes,Self-efficacy does not appear to mediate training’s effect on performance based on the moderation-of-process design,"ABSTRACT Researchers in the area of training and motivation have concluded that training causes improvements in performance partially via training’s influence on self-efficacy. A set of studies employing a moderation-of-process design contradicts this conclusion. Specifically, when two groups of trainees did not know their performance was increasing during training, their self-efficacy did not increase. Two other groups were able to observe improving performance, which enhanced self-efficacy. However, both groups in both studies exhibited equal improvement in performance. This effect was shown in two contexts: training on a physical task and training on a cognitive task. These results demonstrate that self-efficacy might not always play a causal role in determining training’s influence. The studies highlight the value of a rarely used moderation-of-process method for assessing mediation.",Self-efficacy might not always play a causal role in determining training's influence on performance in athletes.,question,900,113.0
9111,are there any evidences that using nanomaterial could help freezing human platelets?,Use of Nanomaterials in Cryobiology and Cryomedicine,"The review considers the possibility of using modern nanotechnological developments aimed to achieve alternative cryobiological goals. On the one hand, the use of nanomaterials will increase the functional value of thawed cells due to such unique characteristics of nanoparticles as size, shape, surface charge, chemical composition, etc. Nanomaterials can be used as nanocontainers for impermeable cryoprotective agents (CPAs) and cause significant changes in crystal formation, thermal conductivity and other properties of cells, tissues and organs, that increases the efficiency of their cryopreservation. On the other hand, the combined use of nanomaterials and low-temperature freezing factors is considered a promising method of destruction of pathologically altered cells and tissues, as it minimizes the risk of recurrence of oncopathology after insufficient freezing-out of the tumor site.",Nanomaterials could be used to achieve cryobiology goals as it can increase the efficency of cryopreservation.,question,898,110.0
20300,Does universal pre-K make for worse outcomes?,Will Public Pre-K Really Close Achievement Gaps? Gaps in Prekindergarten Quality Between Students and Across States,"Publicly funded pre-K is often touted as a means to narrow achievement gaps, but this goal is less likely to be achieved if poor and/or minority children do not, at a minimum, attend equal quality pre-K as their non-poor, non-minority peers. In this paper, I find large “quality gaps” in public pre-K between poor, minority students and non-poor, non-minority students, ranging from 0.3 to 0.7 SD on a range of classroom observational measures. I also find that even after adjusting for several classroom characteristics, significant and sizable quality gaps remain. Finally, I find much between-state variation in gap magnitudes and that state-level quality gaps are related to state-level residential segregation. These findings are particularly troubling if a goal of public pre-K is to minimize inequality.","Universal pre-K may not effectively narrow achievement gaps due to large ""quality gaps"" between poor, minority students and non-poor, non-minority students.",question,810,156.0
24228,why the sky is blue?,Why The Sky Is Blue Discovering The Color Of Life,"Thank you very much for reading why the sky is blue discovering the color of life. Maybe you have knowledge that, people have search numerous times for their favorite novels like this why the sky is blue discovering the color of life, but end up in infectious downloads. Rather than reading a good book with a cup of coffee in the afternoon, instead they are facing with some malicious bugs inside their desktop computer. why the sky is blue discovering the color of life is available in our digital library an online access to it is set as public so you can get it instantly. Our book servers saves in multiple countries, allowing you to get the most less latency time to download any of our books like this one. Merely said, the why the sky is blue discovering the color of life is universally compatible with any devices to read.","The book ""Why the Sky is Blue: Discovering the Color of Life"" is readily available in our digital library and compatible with any device.",question,832,137.0
14276,does age of the fund influence financial perfromance,Research of the income replacement ratio of Provident Fund Scheme in Macau,"This study mainly uses asset/salary ratio model to assess the financial planning of Provident Fund Scheme in Macau based on assumptions of growth rate of salary, inflation rate, return on investment, tolerant risk, exchange rate risk, length of working, and length of retirement life under the current economic perspectives. The main findings show that the age of 36 can attain the income replacement ratio at 30%; the age of 44 at 50%; the age of 54 at 70% given the first year of working is age of 25. In addition, this study also proposes that the Fundo de Pensões de Macau should select the types of global stocks mutual funds prudentially and also should educate the public servants to use asset/salary ratio as a measure to assess whether it can achieve the target income replacement ratio and to balance the portfolio.",The main findings show that the age of 36 can attain the income replacement ratio at 30%; the age of 44 at 50%; the age of 54 at 70% given the first year of working is age of 25.,question,825,178.0
6309,how news media promote covid-19?,Datasets and Approaches of COVID-19 Misinformation Detection: A Survey,"Social media has become a primary source of news, providing a fertile environment for spreading misinformation. Since the outbreak of the COVID-19 pandemic, misleading information related to COVID-19 has been spreading rapidly and widely on social media. Several conspiracy theories have emerged regarding the origin of the COVID-19, potential treatments, and vaccines posing a real threat to the public health of people. Fake news that promotes vaccine hesitancy might jeopardize achieving the levels of vaccination needed to reach herd immunity and end the pandemic. The need for automatic tools that detect COVID-19 related misinformation has encouraged researchers to propose several Machine learning (ML) and Deep Learning (DL). Many datasets have been released since the start of the pandemic, aiming to assess the performance of misinformation detection methods. This survey reviews the datasets that have been released to analyze the related to COVID-19 in general and COVID-19 misinformation detection in particular released in Arabic, English, and other languages. We also provide an overview of the different methods used to detect COVID-19 fake news. In this paper, the terms “misleading information”, “misinformation”, and “fake news” are used interchangeably.","Misleading information related to COVID-19 spreads rapidly on social media, posing a threat to public health and promoting vaccine hesitancy.",question,1273,141.0
4061,does microbiome affect leukemia,Role of the microbiome in non-gastrointestinal cancers.,"""The forgotten organ"", the human microbiome, comprises a community of microorganisms that colonizes various sites of the human body. Through coevolution of bacteria, archaea and fungi with the human host over thousands of years, a complex host-microbiome relationship emerged in which many functions, including metabolism and immune responses, became codependent. This coupling becomes evident when disruption in the microbiome composition, termed dysbiosis, is mirrored by the development of pathologies in the host. Among the most serious consequences of dysbiosis, is the development of cancer. As many as 20% of total cancers worldwide are caused by a microbial agent. To date, a vast majority of microbiome-cancer studies focus solely on the microbiome of the large intestine and the development of gastrointestinal cancers. Here, we will review the available evidence implicating microbiome involvement in the development and progression of non-gastrointestinal cancers, while distinguishing between viral and bacterial drivers of cancer, as well as ""local"" and ""systemic"", ""cancer-stimulating"" and ""cancer-suppressing"" effects of the microbiome. Developing a system-wide approach to cancer-microbiome studies will be crucial in understanding how microbiome influences carcinogenesis, and may enable to employ microbiome-targeting approaches as part of cancer treatment.","The microbiome is implicated in the development and progression of non-gastrointestinal cancers, including potentially leukemia.",question,1376,128.0
7545,challenges of sustainability,The Role of a Strategic and Sustainable Orientation in Green Supply Chain Management,"The﻿ environmental﻿ problems﻿ we’re﻿ facing﻿ today,﻿ with﻿ their﻿ growing﻿ severity﻿ and﻿ increasingly﻿ global﻿ nature,﻿ are﻿ often﻿ referred﻿ to﻿ as﻿ humanity’s﻿ greatest﻿ challenge.﻿ This﻿paper﻿develops﻿a﻿model﻿that﻿identifies﻿the﻿antecedents﻿and﻿outcomes﻿associated﻿ with﻿sustainable﻿supply﻿chain﻿management﻿linkage.﻿The﻿model﻿starts﻿by﻿identifying﻿ two﻿antecedents﻿(internal﻿and﻿external﻿orientation)﻿that﻿firms﻿may﻿adopt﻿in﻿order﻿to﻿ cope﻿with﻿ their﻿ sustainability﻿goals.﻿The﻿hypotheses﻿are﻿ tested﻿based﻿on﻿ the﻿major﻿ survey﻿data﻿from﻿342﻿Taiwanese﻿and﻿Chinese﻿public﻿corporations.﻿This﻿study﻿not﻿only﻿ demonstrates﻿that﻿both﻿the﻿internal﻿supply﻿chain﻿and﻿external﻿environmental﻿orientation﻿ exert﻿a﻿positive﻿on﻿green﻿SCM,﻿sustainability﻿orientation,﻿and﻿alliance﻿performance,﻿ but﻿also,﻿more﻿importantly,﻿they﻿delineate﻿how﻿green﻿SCM﻿is﻿practiced.﻿This﻿study﻿also﻿ sheds﻿light﻿on﻿the﻿role﻿of﻿a﻿sustainable﻿orientation﻿in﻿strategic﻿supply﻿chain﻿alliance’s﻿ performance,﻿and﻿builds﻿a﻿comprehensive﻿conceptual﻿framework﻿that﻿fills﻿some﻿key﻿ gaps﻿in﻿previous﻿research. KEywORd Alliance Performance, Green Supply Chain Management, Strategic Orientation, Sustainability","Internal supply chain and external environmental orientation positively impact green supply chain management, sustainability orientation, and alliance performance.",phrase,1173,163.0
17759,is there a lgbt framework?,The Experiences of Gay Male Undergraduate Students at a Traditional Women's College,"This study examined the experiences of gay male undergraduate students enrolled at a traditional women’s college using the framework of queer theory. Using data collected from student interviews, journals, and document analysis, the findings offer insight into how institutional space as well as peer culture impact identity. The students reported the need to identify with peers across a range of individual characteristics. Conclusions and implications for practice are offered.",The study uses queer theory as a framework to examine the experiences of gay male undergraduate students at a traditional women's college.,question,480,138.0
